Province,City,Customer Id,Customer Name,Potential,2022 Q1 Target,sales,ALL_CUST,MA_CUST,VR_CUST,Stegaltro Listing Status,Stegaltro Listing Date,1/1/2021,1/1/2022,10/1/2021,11/1/2021,12/1/2021,2/1/2021,2/1/2022,3/1/2021,3/1/2022,4/1/2021,4/1/2022,5/1/2021,5/1/2022,6/1/2021,7/1/2021,8/1/2021,9/1/2021,standard_tier,hospital_segment,VR_CALL_CNT,VEEVA_CNT,SPK_CNT,EMEET_CNT,ADD_WECHAT_CNT,Group,sales_half_yr_pre,sales_half_yr,GR
云南省,临沧市,900002341,临沧市人民医院,2032578.0,429.751,0.0,1.0,0.0,0.0,Not Listed,Not Listed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Others,Others,0,0,0,0,0,LH,0.0,0.0,
云南省,丽江市,900002353,华坪县中医院,628222.0,13279.3059,70908.915,0.0,0.0,0.0,Not Listed,Not Listed,2148.755,8595.02,4297.51,0.0,0.0,8595.02,0.0,4297.51,4297.51,2148.755,8595.02,4297.51,2148.755,6446.265,4297.51,4297.51,6446.265,Tier2,Next,0,0,0,0,0,LH,19338.795,23636.305000000004,0.22222222222222254
云南省,丽江市,900003245,丽江市人民医院,1000767.0,15887.036900000001,154933.91859999998,0.0,0.0,0.0,Not Listed,Not Listed,8595.02,8595.02,0.0,8595.02,17190.04,4297.51,4297.51,4297.51,12892.53,4297.51,17190.04,8595.02,8595.02,13116.088600000001,8595.02,25785.06,0.0,Tier3,Next,0,0,0,0,0,LH,42975.100000000006,51570.12000000001,0.20000000000000018
云南省,丽江市,900020652,丽江市古城区人民医院,962761.0,11216.5011,32661.076,0.0,0.0,0.0,Not Listed,Not Listed,0.0,4297.51,2148.755,2148.755,5586.763000000001,1289.253,0.0,2148.755,0.0,0.0,4297.51,429.751,4297.51,3008.257,859.502,2148.755,0.0,Tier2,Next,0,0,0,0,0,LH,7305.767000000001,12892.53,0.7647058823529411
云南省,德宏傣族景颇族自治州,900007721,盈江县人民医院,1570573.0,386.7759,6813.954199999999,0.0,0.0,0.0,Not Listed,Not Listed,0.0,558.8965,1117.7930000000001,876.8682,0.0,0.0,0.0,0.0,1006.0137,0.0,589.0458,0.0,1117.7930000000001,1117.7930000000001,429.751,0.0,0.0,Tier2,Others,0,0,0,0,0,LH,2424.4122,3271.749,0.349501953504441
云南省,德宏傣族景颇族自治州,900008000,瑞丽市人民医院,1514639.0,25913.9853,123180.7886,0.0,0.0,0.0,Not Listed,Not Listed,0.0,22355.86,0.0,19226.0396,0.0,11177.93,0.0,5588.965,5588.965,2235.5860000000002,11177.93,5588.965,6706.758000000001,0.0,11177.93,0.0,22355.86,Tier2,Next,0,0,0,0,0,LH,52759.8296,45829.513000000006,-0.1313559322033897
云南省,德宏傣族景颇族自治州,900009327,芒市人民医院,853426.0,429.751,0.0,0.0,0.0,0.0,Not Listed,Not Listed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tier2,Next,0,0,0,0,0,LH,0.0,0.0,
云南省,德宏傣族景颇族自治州,900021696,德宏傣族景颇族自治州人民医院,4210186.0,79691.8906,907639.3078000001,0.0,0.0,0.0,Listing,202111,75141.614,114038.23240000001,4297.51,34183.6234,55500.6412,0.0,51518.2712,32192.4384,111605.638,25759.1356,61618.804000000004,34341.1934,73461.23079999999,32205.4006,36489.9484,40787.4584,124498.168,Tier3,Others,0,0,0,0,0,LH,240256.7082,412242.1764,0.7158404420359905
云南省,文山壮族苗族自治州,900002323,文山州人民医院,2563411.0,17190.04,0.0,0.0,0.0,0.0,Not Listed,Not Listed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tier3,Next,0,0,0,0,0,LH,0.0,0.0,
云南省,文山壮族苗族自治州,904301690,文山壮族苗族自治州人民医院(城南院区),110342.0,429.751,3867.759,0.0,0.0,0.0,Not Listed,Not Listed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.751,0.0,429.751,0.0,1719.004,1289.253,0.0,Tier3,Others,0,0,0,0,0,LH,3008.2569999999996,859.502,-0.7142857142857142
云南省,昭通市,900003239,昭通市中医院,1733247.0,8337.1694,58016.385,0.0,0.0,0.0,Not Listed,Not Listed,0.0,8595.02,0.0,4297.51,0.0,2148.755,4297.51,0.0,6446.265,4297.51,4297.51,2148.755,4297.51,0.0,4297.51,8595.02,4297.51,Tier3,Others,0,0,0,0,0,LH,21487.550000000003,27933.815000000002,0.2999999999999998
云南省,昭通市,900013761,昭通市第一人民医院,5760553.0,80767.1305,32716.6025,2.0,1.0,1.0,Not Listed,Not Listed,0.0,9389.4612,0.0,1194.8399,1229.5723,0.0,0.0,0.0,0.0,447.1172,0.0,0.0,20120.273999999998,0.0,0.0,335.3379,0.0,Tier3,Next,0,1,0,0,0,LH,1530.1778,29509.735199999996,18.285167514520207
云南省,普洱市,900002324,普洱市人民医院,443599.0,20112.3468,0.0,1.0,0.0,0.0,Not Listed,Not Listed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tier3,Others,0,0,0,0,0,LH,0.0,0.0,
云南省,普洱市,900009820,景谷县中医院,727058.0,18522.2681,100991.485,0.0,0.0,0.0,Not Listed,Not Listed,8595.02,0.0,0.0,17190.04,17190.04,0.0,0.0,4297.51,0.0,4297.51,17190.04,6446.265,0.0,4297.51,12892.53,8595.02,0.0,Tier1,Next,0,0,0,0,0,LH,38677.590000000004,17190.04,-0.5555555555555556
云南省,普洱市,900012498,景谷傣族彝族自治县人民医院,2342734.0,18694.1685,2578.506,0.0,0.0,0.0,Not Listed,Not Listed,0.0,0.0,0.0,429.751,0.0,0.0,1289.253,0.0,859.502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tier2,Next,0,0,0,0,0,LH,429.751,2148.755,4.000000000000001
